,jeo news videos
118,https://www.geo.tv/faq#_
119,https://talent.geo.tv/
120,https://talent.geo.tv/
121,https://asool.geo.tv/
122,https://play.google.com/store/apps/details?id=com.snr
123,https://itunes.apple.com/cy/app/seenreport.geonews.iphone/id617329127
124,https://www.facebook.com/GeoEnglishdotTV/
125,https://twitter.com/geonews_english
126,https://www.youtube.com/user/geonews/
127,https://www.instagram.com/geonewsdottv/
